area,population_census1990,population_census1999,population_estimation2008,population_estimation2019
Auvergne-Rhône-Alpes,6668168.00,6949608.00,7459092.00,8026685.00
Bourgogne-Franche-Comté,2705826.00,2728086.00,2802519.00,2795301.00
Bretagne,2794317.00,2904075.00,3149701.00,3329395.00
Centre-Val de Loire,2369808.00,2440295.00,2531588.00,2566759.00
Corse,249645.00,260152.00,302966.00,339178.00
Grand-Est,5274064.00,5387509.00,5521452.00,5518188.00
Hauts-de-France,5770671.00,5855448.00,5931091.00,5978266.00
Ile-de-France,10644665.00,10946012.00,11659260.00,12213364.00
Normandie,3126859.00,3202449.00,3293092.00,3319067.00
Nouvelle-Aquitaine,5114287.00,5257954.00,5671076.00,5987014.00
Occitanie,4546249.00,4842680.00,5419946.00,5892817.00
Pays de la Loire,3055197.00,3219960.00,3510170.00,3786545.00
Provence-Alpes-Côte d'Azur,4257244.00,4502385.00,4882913.00,5059473.00
overall,56577000.00,58496613.00,62134866.00,64812052.00
